doi,title,relevance_score,publication_year,cited_by_count
https://doi.org/10.1109/access.2020.2997702,5G Network Slicing: A Security Overview,430.25363,2020,128
https://doi.org/10.1109/cc.2017.8246328,Physical layer security with its applications in 5G networks: A review,343.5988,2017,136
https://doi.org/10.3390/fi14040116,ML-Based 5G Network Slicing Security: A Comprehensive Survey,319.0441,2022,93
https://doi.org/10.1109/access.2019.2899254,Security and Protocol Exploit Analysis of the 5G Specifications,295.82184,2019,103
https://doi.org/10.1109/iccmc48092.2020.iccmc-00014,Network Slicing in 5G and the Security Concerns,252.9925,2020,39
https://doi.org/10.1109/lwc.2021.3133479,DeepSecure: Detection of Distributed Denial of Service Attacks on 5G Network Slicing—Deep Learning Approach,236.19531,2021,65
https://doi.org/10.1364/jocn.413918,5G network slicing with QKD and quantum-safe security,230.24442,2020,40
https://doi.org/10.1109/access.2022.3222488,MSR-DoS: Modular Square Root-Based Scheme to Resist Denial of Service (DoS) Attacks in 5G-Enabled Vehicular Networks,223.73993,2022,51
https://doi.org/10.1186/s13638-022-02204-5,Threatening the 5G core via PFCP DoS attacks: the case of blocking UAV communications,214.90604,2022,41
https://doi.org/10.1109/access.2024.3386632,Security in 5G Network Slices: Concerns and Opportunities,204.63203,2024,27
https://doi.org/10.1109/iccworkshops50388.2021.9473567,Adversarial Machine Learning for Flooding Attacks on 5G Radio Access Network Slicing,202.30136,2021,38
https://doi.org/10.1109/infcomw.2019.8845312,Exploiting Multipath Terahertz Communications for Physical Layer Security in Beyond 5G Networks,201.93092,2019,68
https://doi.org/10.1109/milcom55135.2022.10017474,Toward Zero Trust Security IN 5G Open Architecture Network Slices,197.50505,2022,35
https://doi.org/10.1109/tnsm.2023.3254581,Reinforcement Learning-Based Slice Isolation Against DDoS Attacks in Beyond 5G Networks,197.1748,2023,39
https://doi.org/10.1002/spe.2800,A real‐time attack defense framework for 5G network slicing,195.84746,2020,28
https://doi.org/10.1109/fnwf55208.2022.00117,SliceSecure: Impact and Detection of DoS/DDoS Attacks on 5G Network Slices,191.98236,2022,30
https://doi.org/10.1109/lnet.2020.3044642,Distributed Slice Mobility Attack: A Novel Targeted Attack Against Network Slices of 5G Networks,186.13966,2020,20
https://doi.org/10.1109/access.2018.2815567,An Intra-Slice Security Solution for Emerging 5G Networks Based on Pseudo-Random Number Generators,182.19635,2018,39
